Standardized 2D Ultrasound Sequences for Fetal Cardiac Screening: A Platform for AI Integration.	10.1111/echo.70422
Unsupervised 1D CNN -bidirectional long short-term memory model with multi-head attention for generating intravoxel incoherent motion maps.	10.1002/mp.70396
Deep Learning-based Monoenergetic Imaging for Calcified Coronary Stenosis Assessment at Energy-integrating Detector CT.	10.1148/ryct.250230
Cross-dataset adaptation of voxel-level deep radiomics for predicting survival in inoperable locally advanced NSCLC treated with immunotherapy.	10.3389/fimmu.2026.1787518
A multi-magnification digital colposcopy image datasets for cervical cancer screening in Nigeria.	10.1016/j.dib.2026.112633
DyABD: the abdominal muscle segmentation in dynamic MRI benchmark.	10.1186/s12880-026-02204-7
Toward general AI harmonization with real mammogram imaging breast cancer dataset.	10.1186/s13104-026-07727-4
Multi-plane vision transformer for hemorrhage classification using axial and sagittal MRI data.	10.1038/s41598-026-44524-2
Ensuring the integrity of AI models: a blockchain-based approach for protecting medical imaging training data.	10.1038/s41598-026-44040-3
Developing and evaluating multimodal large language model for orthopantomography analysis to support clinical dentistry.	10.1016/j.xcrm.2026.102652
CBCT-based volumetric assessment of the maxillary sinus in temporomandibular disorder: Integration of morphometric analysis and classical machine learning classification.	10.1371/journal.pone.0343691
ABC-YOLO: Automated skin burn depth classification using YOLO architectures.	10.1371/journal.pone.0344042
Detection of atrial septal aneurysm on ECG based on Deep Learning algorithm (ANN).	10.62438/tunismed.v103i9.5646
Keros-Net: a convolutional block attention module-squeeze-and-excitation-integrated hybrid learning framework for olfactory fossa depth classification.	10.4274/dir.2026.263749
Tensor-decomposition regularized learning for fast and high-fidelity multi-parametric microstructural MR imaging.	10.1002/mp.70359
Impact of CT dose on AI performance: A comparison of radiomics, deep, and foundation models in a multicentric anthropomorphic phantom study.	10.1002/mp.70374
Volumetric MRI assessment of brain and pituitary structure in girls with central precocious puberty.	10.1515/jpem-2025-0725
Development of a convolutional neural network for the endoscopic classification of pouchitis in patients after restorative proctocolectomy.	10.1007/s10151-025-03273-6
A hybrid deep learning approach integrating CNN and transformer for lung cancer classification using CT scans.	10.1038/s41598-026-41161-7
Development and validation of stability prediction models for intracranial aneurysms based on ensemble learning algorithms.	10.1016/j.jocn.2026.111974
Differential tractography suggests a "left-to-whole" white matter degeneration pattern in aging.	10.1007/s11682-026-01115-z
Robust ventricular segmentation in cardiac MRI via fused attention and capsule networks.	10.1515/bmt-2026-0015
Effect of the Temporal Sampling Strategy for the Assessment of Cerebral Perfusion in Multidelay Arterial Spin Labeling.	10.1002/nbm.70271
Automated diabetic retinopathy classification using vision transformers on optical confocal microscopy images.	10.1364/AO.562201
Machine learning-based quantification of neurovascular compression for correlation with trigeminal neuralgia pain outcomes.	10.1097/j.pain.0000000000003946
GlioMODA: Robust glioma segmentation in clinical routine.	10.1093/noajnl/vdag034
ResSGA-Net: A deep learning approach for enhanced brain tumor detection and accurate classification in healthcare imaging systems.	10.1016/j.jgeb.2026.100658
Executive Dysfunction in Autism Spectrum Disorder Is Associated With Increased Cerebro-Cerebellar Resting-State Functional Connectivity.	10.1155/np/7449692
Classifying irritable bowel syndrome using spatio-temporal graph convolution networks on brain functional MRI data.	10.1093/braincomms/fcag062
DenseLes: slice-wise dense network for multiple sclerosis lesion segmentation and classification.	10.3389/fneur.2026.1704317
Biological validity, test-retest reliability, and behavioral relevance of the single-subject brain volumetric similarity network.	10.1016/j.neuroimage.2026.121862
Prob-BBDM: A Probabilistic Brownian Bridge Diffusion Model for MRI sequence image-to-image translation.	10.1016/j.compmedimag.2026.102745
Semantic edge-guided single-view 2D/3D registration for vertebrae in X-rays.	10.1002/mp.70385
Exploratory analysis of the associations of the brain age gap with cognitive function and amyloid-β accumulation: participants selection based on metabolic and physiological blood markers.	10.1016/j.neurobiolaging.2026.03.003
MyoClass: A modular multimodal auto-classification system for myocardial tissue characterization.	10.1007/s10554-026-03684-y
Cross-Institutional Five-Class Kellgren-Lawrence Grading of Knee Osteoarthritis via Multitask Deep Learning.	10.1111/nyas.70254
LLM-SDaT: A knowledge-informed LLM framework for syndrome differentiation in TCM.	10.1016/j.neunet.2026.108812
Cross-Modality Whole-Heart MRI Reconstruction with Deep Motion Correction and Super-Resolution.	10.3390/s26051565
A Machine Learning Pipeline for Prognostic Modeling of Alzheimer's Disease Using Multimodal Data.	10.3390/s26051523
Soft Optical Sensor for Embryo Quality Evaluation Based on Multi-Focal Image Fusion and RAG-Enhanced Vision Transformers.	10.3390/s26051441
Optimization-Driven Hybrid Machine Learning Framework for Brain Tumor Classification in MRI with Metaheuristic Feature Selection.	10.3390/diagnostics16050819
AI-Assisted OCT Imaging for Core Needle Biopsy Guidance: The 1st in Humans Study.	10.3390/diagnostics16050811
Development and Preliminary Evaluation of an EfficientNet-Based Deep Learning System for Ultrasound Assessment of Neck Disorders: A Single-Center Study.	10.3390/diagnostics16050728
Angiogenesis-Informed Preoperative CT Radiogenomics Predicts Overall Survival in Clear Cell Renal Cell Carcinoma: Development and External Validation.	10.3390/cancers18050768
A Deep Learning-Based Decision Support System for Cholelithiasis in MRI Data.	10.3390/jcm15051891
Artificial Intelligence in Orthopaedics: Clinical Performance, Limitations, and Translational Readiness-A Review.	10.3390/jcm15051751
Circuit response to neuromodulation characterized with simultaneous deep brain stimulation and precision neuroimaging in humans.	10.1038/s41593-026-02228-w
Adaptive, Privacy-Preserving Small Language Models for Multi-Task Clinical Assistance.	10.1007/s10278-026-01912-4
PETWB-REP: A Multi-Cancer Whole-Body FDG PET/CT Dataset with Corresponding Radiology Reports.	10.1038/s41597-026-07058-w
Intergenerational transmission of the structure of the auditory cortex and reading skills.	10.1016/j.dcn.2026.101702
Geometry-aware PointNet for rapid prediction of cerebral aneurysm hemodynamics.	10.1016/j.cmpb.2026.109308
Artificial intelligence in oncology: Current status and possibilities (Review).	10.3892/mi.2026.304
MultimodalCNN-PD: a Parkinson's disease diagnostics framework using multimodal convolutional neural network.	10.3389/fnagi.2026.1733075
Machine learning prediction model for lateral lymph node metastasis in rectal cancer.	10.3389/fgstr.2025.1598686
TRAMFIX: TRavelling Across Melbourne for FIXel-based analysis (a reproducibility and reliability study).	10.1162/IMAG.a.1153
Deep Learning-Based Inner Ear Subregion Segmentation in 3D T2-Weighted MRI Using Label-Preserving Data Augmentation.	10.1002/nbm.70266
A generalizable eye disease detection method based on Zero-Shot Learning.	10.1038/s43856-026-01439-3
BPD-Neo: An MRI Dataset for Lung-Trachea Segmentation with Clinical Data for Neonatal Bronchopulmonary Dysplasia.	10.1038/s41597-026-07006-8
Radiomics-Based Machine Learning Models for Classifying Breast Cancer on Dynamic-Contrast Enhanced MRI through Multi-Observer Analysis.	10.2174/0115734056403426251205212737
XceptRf-Net: A Novel Deep Learning and Machine Learning Approach for Pneumonia Diagnosis.	10.2174/0115734056409581251202221437
Fusing serum peptidome profiles with clinical variables via machine learning for pulmonary embolism risk assessment.	10.1016/j.talanta.2026.129650
Computer-aided diagnosis of papillary thyroid carcinoma based on deep learning technology.	10.1016/j.critrevonc.2026.105235
MTC-MSFFNet: a multi-task classification model based on multi-source feature fusion for Alzheimer's disease.	10.1088/2057-1976/ae510f
Application of a Large Visual Language Model on Tongue Image Description Generation and Physical Constitution Reasoning in Traditional Chinese Medicine (TongueVLM): Model Development and Validation Study.	10.2196/87237
LUS-DET: Liver Ultrasound Open-Vocabulary Object Detection.	10.1109/JBHI.2026.3673549
EMeRALDS: Electronic Medical Record Driven Automated Lung Nodule Detection and Classification in Thoracic CT Images.	10.1007/s10278-026-01901-7
Artificial intelligence for diagnosis and triage in oral cancer: a clinician‑centered narrative review.	10.1007/s10147-026-03002-5
Factors Contributing to Short-Term Structural Variability in a Longitudinal MRI Dataset.	10.1002/hbm.70500
NeuroMorphFusion: A Neuro-Inspired Hybrid Learning Framework for Interpretable Deep Lesion Detection in IoT-Enabled Healthcare Systems.	10.1177/15330338251391080
A hybrid molecular-imaging model for high-accuracy early colorectal cancer diagnosis.	10.21037/jgo-2025-687
Developing a segmentation cascade deep learning network based on automated prompts.	10.21037/qims-2025-1163
Mamba-AE: pixel-wise anomaly detection auto-encoder in chemical exchange saturation transfer magnetic resonance imaging.	10.21037/qims-2025-1952
MRI-based morphologic parameter model for preoperative prediction of transurethral thulium laser enucleation of the prostate difficulty.	10.21037/qims-2025-1386
An Interpretable Chest X-ray Classification Framework Using Prototype Memory and Counterfactual Consistency.	10.7759/cureus.103134
Integrative multi-stage deep learning framework for ovarian tumor ultrasound classification with explainability and confidence estimation.	10.3389/fmed.2025.1760167
A multimodal fusion model for bone tumor benign and malignant diagnosis: development and validation with clinical text and radiographs.	10.21037/tcr-2025-1832
AI-powered biomechanical modeling for ACL-reconstructed knees: predicting knee joint contact forces via computer vision and deep learning.	10.1186/s12984-026-01939-2
Validation of the Eyerobo FC Portable Fundus Camera for Diabetic Retinopathy Screening Using Public Datasets and Deep Learning.	10.1007/s40123-026-01353-w
BrainParc: unified lifespan brain parcellation from structural magnetic resonance images.	10.1038/s43588-026-00963-5
Ensemble-based high-performance deep learning models for medical image retrieval in breast cancer detection.	10.1038/s41598-026-38218-y
A lightweight transformer-based hybrid encoder-decoder model for chest X-ray medical report generation.	10.1038/s41598-026-40710-4
A deep learning framework for breast cancer diagnosis using Swin Transformer and Dual-Attention Multi-scale Fusion Network.	10.1038/s41598-026-37969-y
Deep learning-assisted Raman spectroscopic quantification of total terpenes in Curcuma kwangsiensis.	10.1016/j.saa.2026.127668
Detection of errors in organs at risk delineations for radiotherapy for clinical trial reviews.	10.1088/1361-6560/ae50a7
AI-Based Personalized Therapy With Clinical Intelligence and Radiomics (SPOILS) for Patients With Low Back Pain: Prospective Observational Study.	10.2196/83322
The Development and External Testing of Deep Learning Model for Automated Classification of Intervertebral Disc Degeneration on CT Images.	10.1007/s10278-026-01844-z
Color standardization in whole slide imaging: a method to reduce color variability.	10.1080/01478885.2026.2636401
Personalized functional topography-based multisite brain age prediction modeling reveals divergent neurodevelopment in major depression.	10.1073/pnas.2519586123
Location patterns and longitudinal progression of white matter hyperintensities.	10.64898/2026.02.20.26346709
Exploratory analysis of exhaled volatile organic compounds for binary discrimination between lung cancer, pneumonia, and healthy controls using machine learning.	10.3389/fmed.2026.1741424
Convolutional neural networks for prostate cancer detection, classification, and segmentation: A systematic review and bibliometric analysis.	10.1016/j.ejro.2026.100741
Bridging innovation and clinical reality: Interpreting the comparative study of deep learning models for multi-class upper gastrointestinal disease segmentation.	10.3748/wjg.v32.i8.115297
Fluorescence Properties of Collagen Types I-V: A Comprehensive Study of Spectral and Lifetime Characteristics.	10.64898/2026.02.21.706506
Efficient attention-based Ghost-ResNet for brain tumor classification in magnetic resonance imaging (MRI).	10.3389/fnins.2026.1778376
The Emory Knee Radiograph (MRKR) Dataset.	10.1007/s10278-026-01902-6
A Benchmark X-ray Dataset for Pediatric Supracondylar Humerus Fractures with Improved YOLOv11-Based Detection.	10.1038/s41597-026-07029-1
A multimodal retinal image dataset for diabetic retinopathy detection using foundation models.	10.1038/s41597-026-07005-9
Evaluation of the impact of low activity imaging in [<sup>11</sup>C]-(+)-PHNO and [<sup>11</sup>C]UCB-J PET-MR scans.	10.1186/s40658-026-00850-y
A pruned and parameter-efficient Xception framework for skin cancer classification.	10.1371/journal.pone.0341227
Anomaly Detection for Structural and Functional Connectivity in Glioma Patients.	10.1002/nbm.70238
Breast edema score as a biomarker of tumor aggressiveness and its predictive value for neoadjuvant chemotherapy response.	10.1007/s00330-026-12406-w
Comparative Evaluation of Encoder- and Decoder-Based Models for Actionable Findings in CT Reports.	10.1007/s10278-026-01888-1
HOG-CNN: Integrating Histogram of Oriented Gradients with Convolutional Neural Networks for Retinal Image Classification.	10.1007/s10278-026-01893-4
Hybrid Aquila optimizer-Harris Hawks optimization for CNN hyperparameter tuning in brain tumor classification.	10.1038/s41598-026-43329-7
A YOLOv12-based approach for automatic detection of cephalometric landmarks on 2D lateral skull X-ray images.	10.1038/s41598-026-43250-z
Atypical Development of Functional Brain Networks in Neonates with Congenital Heart Disease.	10.1523/JNEUROSCI.1846-25.2026
AI-Assisted Diagnosis of Impacted Teeth Other than Third Molars: A Systematic Review.	10.1016/j.jdent.2026.106612
FADFNet: A fine-tunable and adaptive decomposition-fusion network for cross-dataset low-dose CT and low-dose PET image reconstruction.	10.1016/j.media.2026.104016
Exploration and performance analysis of deep learning applications in spermatic vein ultrasound segmentation.	10.1088/2057-1976/ae4eed
Multimodal skin disease classification using vision transformers, medical captioning, and metadata fusion: an analysis on the ISIC 2024 dataset.	10.1088/2057-1976/ae4eeb
Image Preprocessing and Optimizer Sensitivity: Implications for Convolutional Neural Networks in Diagnosing Brain Tumors.	10.3791/69459
Accuracy of magnetic resonance imaging for acute appendicitis in pregnant women: an updated diagnostic systematic review and meta-analysis.	10.1007/s00261-026-05416-1
Larger Real-World OCT Reference Database Improves Accuracy of Glaucoma Flagging Using Summary Metrics.	10.1167/tvst.15.3.6
A low-cost artificial intelligence powered breath analyzer for early chronic obstructive pulmonary disease detection in resource-limited environment.	10.1177/20552076261429627
Multi-adapter SAM-inspired bronchoscopic image segmentation for lung cancer diagnosis.	10.3389/fonc.2026.1706202
Deep learning-based multi-view echocardiographic framework for comprehensive diagnosis of pericardial disease.	10.1093/ehjdh/ztag028
Optimizing Thyroid Nodule Evaluation: AI Integration Into the Thyroid Imaging Reporting and Data System Through AI-Based Ultrasound Image Analysis.	10.7759/cureus.102893
Effect of Region-of-Interest Prompting on Gemini 2.5 Pro in MRI Classification of Anterior Cruciate Ligament Injury.	10.7759/cureus.102850
Attention-enhanced SAM with PBFO tuning: advancing glioma MRI segmentation.	10.3389/fmed.2026.1730353
Investigation of the Medical Image Modalities to Detect the Abnormalities in the Spinal Cord Using Thresholding Techniques.	10.1002/bab.70146
PHIVE: A physics-informed variational encoder enables rapid spectral fitting of brain metabolite mapping at 7T.	10.1016/j.media.2026.104014
Improved segmentation of cardiac structures in echocardiograms for diastolic function evaluation.	10.1002/mp.70373
Multi-modal deep learning model for predicting recurrence of moderately severe and severe acute pancreatitis.	10.1016/j.ejrad.2026.112758
Artificial intelligence-based biomarkers for the diagnosis and treatment of neurological conditions: a narrative review.	10.1186/s13041-026-01287-1
Derivation of machine learning brain aging biomarkers for a set of forty thousand functional connectomes.	10.1016/j.brainresbull.2026.111815
Open diffusion magnetic resonance imaging and connectivity data for epilepsy and surgery: The IDEAS II release.	10.1002/epi.70186
Dynamic causal modelling for functional near-infrared spectroscopy using spatial priors derived from diffuse optical tomography.	10.1016/j.neuroimage.2026.121843
DiffusionTBAD: Rendering CTA images for type B aortic dissection diagnosis.	10.1016/j.compmedimag.2026.102740
Deep Learning Myocardial Segmentation in 3D Whole-Heart Joint T1/T2 Mapping: Comparison of nnU-Net and MA-SAM.	10.1002/nbm.70252
Artificial intelligence-driven metabolomics of the retinal nerve fiber layer to profile risks of mortality and cardiometabolic diseases.	10.1097/MS9.0000000000004707
Group Sparse Representation Enhances Brain Network Classification of Major Depressive Disorder in Two Chinese Cohorts.	10.31083/AP40685
Untamed: Unconstrained Tensor Decomposition and Graph Node Embedding for Cortical Parcellation.	10.1002/hbm.70483
High-throughput phenomics of global ant biodiversity.	10.1038/s41592-026-03005-0
[Topology-aware self-attention network for automatic segmentation of oral potentially malignant disorder images].	10.3760/cma.j.cn112144-20251220-00524
Validation of an AI Method for Automated Lymphoma Metabolic Tumor Volume Segmentation Using a Public Benchmark PET/CT Dataset.	10.2967/jnumed.125.271605
Study of sex differences in the whole brain white matter using diffusion MRI tractography and suprathreshold fiber cluster statistics.	10.1016/j.nicl.2026.103979
Variances in 3D radiomic shape features between meningioma, acoustic neuroma, and pituitary adenoma and the impact on dosimetric plan quality in Gamma Knife stereotactic radiosurgery.	10.1088/2057-1976/ae4def
Artificial intelligence for T classification of TNM breast cancer in MRI imaging: enabling precision in treatment decisions.	10.1088/2057-1976/ae4df0
Deep Learning Segmentation of Pectoralis Muscle Volume at CT and Comparison with Pectoralis Muscle Area in COPD.	10.1148/ryct.250060
Evaluating the diagnostic performance of artificial intelligence-assisted decision-making software for pulmonary nodules in a resource-limited setting.	10.25259/JCIS_212_2025
Improved 3D image reconstruction via deep-learning-based fusion of light-field microscopy and Fourier light-field microscopy images.	10.1117/1.JBO.31.3.036002
Multimodal MRI-based two-stage artificial intelligence framework for renal fibrosis classification in chronic kidney disease.	10.1186/s12882-026-04869-2
Merlin: a computed tomography vision-language foundation model and dataset.	10.1038/s41586-026-10181-8
A Review on Automatic Personal Identification Using Panoramic Radiographs and Computed Tomography.	10.1055/a-2808-8851
Thermal signatures in breast cancer: Deciphering latent biomarkers through deep learning and explainable AI.	10.1016/j.jtherbio.2026.104426
Segmentation-aware Generative Reinforcement Network (GRN) for tissue layer segmentation in 3-D ultrasound images for chronic low-back pain (cLBP) assessment.	10.1016/j.compmedimag.2026.102736
MAAR-Net: Multi-scale attention-assisted residual neural network for renal microvascular structure segmentation.	10.1371/journal.pone.0342752
Unsupervised Contrastive Refinement with Graph-Aware Multimodal Interaction for Radiology Report Generation.	10.1109/JBHI.2026.3670375
Notch2 is involved in regulating apical tissue repair following severe intrusive luxation.	10.1590/1678-7765-2025-0490
Increasing-Yet Varying-Radiologist Workforce Attrition Across Subspecialties.	10.2214/AJR.26.34579
3D region-growing nnU-Net improves pulmonary embolism detection on CTPA: a dual-cohort validation study.	10.1186/s41747-026-00693-3
Scalable and objective wound infection screening from clinical images using deep learning.	10.3389/fpubh.2026.1772514
Attention-enhanced deep learning model for automated classification of hemorrhagic and ischemic stroke on CT imaging.	10.1186/s40001-025-03784-w
Hybrid receptive field U-Net for lesion segmentation in breast ultrasound images.	10.1002/mp.70370
Hybrid EfficientNet B4 and SVM framework for rapid and accurate bone cancer diagnosis from X-rays.	10.1038/s41598-026-38801-3
Contrast-free identification of glioma blood-brain barrier status via generative diffusion AI and non-contrast MRI.	10.1038/s41467-026-69578-8
AI approaches for predicting progression to acute coronary syndrome among stable coronary heart disease patients.	10.1038/s44325-025-00094-2
A domain-adaptive deep contrastive network for magnetic resonance imaging-driven bladder cancer classification.	10.1038/s41746-026-02499-4
Transformer-encoded nnU-Net with local region perceptron and contrastive learning (TLC-nnUNet) for multiple brain metastasis detection and delineation.	10.1088/1361-6560/ae4ced
A Gaussian mixture model for combining single threshold and adaptive threshold segmentation of bone microstructure.	10.1088/2057-1976/ae4c92
TinnitusLLM: A Multimodal Large Language Model Framework for Tinnitus Diagnosis Through EEG-fMRI Fusion Learning.	10.1109/JBHI.2026.3670122
An Improved YOLOv8-Based Object Detection Algorithm for Skin Diseases.	10.1615/CritRevBiomedEng.2025059866
Transfer Learning with Limited Data for Mice Lung Segmentation in Synchrotron X-Ray Tomography.	10.1007/s10439-026-04036-6
Efficient and complete fat suppression in two-point Dixon MR imaging: sequence considerations and assessment in lumbar plexus imaging.	10.1007/s00256-026-05174-7
Early recurrence prediction and risk stratification of hepatocellular carcinoma after transarterial chemoembolization achieving imaging complete response based on contrast-enhanced CT machine learning.	10.1007/s00261-026-05436-x
Longitudinal Assessment of Vascularity in Actinic Keratosis Using Dynamic Optical Coherence Tomography: Practical Considerations and Theoretical Insights.	10.1002/jbio.70240
Time-to-Event Pretraining for 3D Medical Imaging.	
3DViT-GAT: a unified atlas-based 3D vision transformer and graph learning framework for major depressive disorder detection using structural MRI data.	10.1038/s41598-026-42108-8
Enhanced Magnetic Resonance Imaging-Based Knee Cartilage Segmentation Using a Swin-UNet Conditional Generative Adversarial Network: Development and Validation Study.	10.2196/86155
[Development and validation of a preoperative prediction model for very early recurrence after radical resection of intrahepatic mass-forming cholangiocarcinoma].	10.3760/cma.j.cn112139-20250804-00391
EIT to CT Cross-Modality Translation Using Diffusion Transformer.	10.1109/JBHI.2026.3668898
Deep learning-based identification and maturation assessment of the zygomaticomaxillary suture in cone-beam computed tomography images.	10.1186/s40510-026-00614-5
LLM-guided multimodal attention network for robust multiclass Parkinson's disease diagnosis.	10.1515/bmt-2026-0004
Scaling Early Detection for Developmental Dysplasia of the Hip With Artificial Intelligence-Assisted Imaging.	10.7759/cureus.102507
Deep learning-based pulmonary nodule risk assessment outperforms established malignancy risk scores in lung cancer screening.	10.1093/radadv/umag003
UMIAD-EGMF: unsupervised medical image anomaly detection based on edge guidance and multi-scale flow fusion.	10.1186/s42492-026-00215-3
A Deep Learning Model for Second-Molar Lesions Related to Impacted Third Molars.	10.1016/j.identj.2026.109467
Mamba‑MFNet: A hierarchical supervised network based on the fusion of axial and cross-modal attention for breast DCE‑MRI tumor segmentation.	10.1016/j.compmedimag.2026.102732
Craniofacial CBCT: Addressing volume-resolution dilemma using generative artificial intelligence.	10.1016/j.bone.2026.117841
Integrating histology and spatial transcriptomics via multimodal transformers and contrastive representation learning for accurate gene expression prediction.	10.1016/j.jbi.2026.105003
Pseudo-label-free instance screening of non-tumor regions in whole slide images for improved classification and survival prediction.	10.1016/j.compmedimag.2026.102738
An attention-guided residual 3D U-net with focal Tversky-Dice loss for multi-modal pancreatic tumor segmentation using synthetic volumetric imaging.	10.1016/j.ctarc.2026.101146
Radiographic Morphometry of the Proximal Femur and Hip Joint in Spitz Breed Dogs: Establishing Breed-Specific Reference Values.	10.1111/ahe.70096
A Novel Network-Level Fused Self-Attention Deep Neural Network for Cervical Cancer Classification from Cervicography Images.	10.1177/15330338261426741
BDU-Net: An Edge-Segmentation-Oriented U-Shaped Network for Pediatric Knee Joint Segmentation.	10.1007/s10278-026-01862-x
Optimal Lossy Compression Scheme of 3D Volumetric Ultrasound Images For Remote Breast Cancer Screening.	10.1007/s10278-025-01735-9
Development and Validation of Radiomics and Clinical Models for Predicting Gleason Grades in Prostate Cancer Across Tumor Subregions and Clinical Factors: A Dual-Center Study.	10.1016/j.acra.2026.02.006
[CGP-Net: Cross-modal guided prior network for precise gastric cancer segmentation].	10.7507/1001-5515.202507011
Gut unclassified Ruminococcaceae reweights cortical functional gradients and small-world topology with links to mood and diet.	10.1016/j.neuroimage.2026.121830
A multimodal data-based model for breast cancer diagnosis.	10.1016/j.cmpb.2026.109288
The Intention-Execution Disconnect in Medical AI: The ReXecution Framework for Evaluating Real-World Clinical Performance.	10.1142/9789819824755_0021
ReXVQA: A Large-scale Visual Question Answering Benchmark for Generalist Chest X-ray Understanding.	10.1142/9789819824755_0018
Automated Chest X-ray Report Generation Remains Unsolved.	10.1142/9789819824755_0017
3DReasonKnee: Advancing Grounded Reasoning in Medical Vision Language Models.	10.1142/9789819824755_0008
A Clinician-Guided Framework for Endoscopic AI: Developing PanEndoAtlas and Benchmarking Foundation Models Across the Full GI Spectrum.	10.1142/9789819824755_0004
A voxel-wise uncertainty-guided framework for glioma segmentation using spherical projection-based U-Net and localized refinement.	10.1002/mp.70360
Synthetic X‑ray‑driven tracking and control of miniature medical devices.	10.1038/s42256-026-01190-3
